ticket_id,specialist_id,investigation_started_at,solution_created_at,root_cause,solution_summary,specialist_notes,requires_follow_up_flag,diagnostic_steps,evidence_reviewed,customer_action_required,confidence_score
TKT-00190,SP-007,2026-02-18T06:22:40,2026-02-18T19:35:51,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on Inventory App. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,true,Reviewed ticket symptoms; checked Inventory App health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.91
TKT-00190,SP-007,2026-02-19T07:25:49,2026-02-20T05:16:47,Warehouse job missed scheduled run (post-rejection deeper review),Manually trigger affected job and adjust scheduler to avoid recurrence. Adjusted based on customer feedback.,Investigated on Inventory App. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Inventory App diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.83
TKT-00191,SP-002,2026-03-26T04:47:20,2026-03-26T05:17:20,Edge-case in privileged-account reset workflow,Run elevated reset workflow with ticket-approval token; confirm sign-in.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known password_reset patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.73
TKT-00191,SP-006,2026-03-27T03:33:31,2026-03-27T05:24:41,Edge-case in privileged-account reset workflow (post-rejection deeper review),Run elevated reset workflow with ticket-approval token; confirm sign-in. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.8
TKT-00192,SP-006,2026-03-31T10:12:03,2026-03-31T17:35:14,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.83
TKT-00194,SP-002,2026-03-28T01:57:51,2026-03-28T10:44:26,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Identity Provider. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00195,SP-007,2026-03-15T20:45:56,2026-03-16T23:11:07,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00196,SP-002,2026-02-23T02:55:31,2026-02-23T04:16:25,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.83
TKT-00197,SP-002,2026-03-11T20:25:31,2026-03-12T00:38:27,Edge-case in privileged-account reset workflow,Run elevated reset workflow with ticket-approval token; confirm sign-in.,Investigated on CRM. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked CRM health/logs; compared against known password_reset patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00198,SP-002,2026-03-23T10:19:02,2026-03-23T12:18:59,Edge-case in privileged-account reset workflow,Run elevated reset workflow with ticket-approval token; confirm sign-in.,Investigated on CRM. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked CRM health/logs; compared against known password_reset patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00199,SP-008,2026-03-02T18:38:46,2026-03-04T20:16:50,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.84
TKT-00202,SP-010,2026-03-22T11:09:14,2026-03-22T20:28:12,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00203,SP-004,2026-03-27T05:30:31,2026-03-27T14:19:50,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00204,SP-004,2026-03-01T04:27:53,2026-03-01T08:31:11,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.91
TKT-00205,SP-010,2026-01-28T04:42:32,2026-01-28T10:01:21,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00207,SP-004,2026-02-10T16:15:46,2026-02-10T23:08:27,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.87
TKT-00207,SP-009,2026-02-11T17:43:20,2026-02-11T19:11:24,Misconfigured route on regional gateway (post-rejection deeper review),Apply corrected route table entry and validate user can reach internal hosts. Adjusted based on customer feedback.,Investigated on VPN. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper VPN diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.76
TKT-00208,SP-009,2026-01-22T16:04:40,2026-01-22T22:53:19,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.87
TKT-00209,SP-003,2026-03-29T12:39:54,2026-03-31T18:52:37,Driver mismatch with current OS image,Push updated driver via MDM and confirm device reports healthy.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known hardware_issue patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00210,SP-008,2026-03-01T05:41:26,2026-03-04T02:32:59,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.96
TKT-00210,SP-008,2026-03-04T19:14:21,2026-03-06T09:07:16,Cross-team request requiring case-by-case handling (post-rejection deeper review),Coordinate with requested team and provide tailored next steps. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.93
TKT-00212,SP-006,2026-02-01T06:57:44,2026-02-02T09:03:02,Manual access review required for sensitive role,"Open access review, obtain manager and security approval, grant scoped role.",Investigated on Identity Provider. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known security_request patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.86
TKT-00215,SP-008,2026-03-11T05:03:14,2026-03-14T22:22:14,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Analytics Dashboard. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.75
TKT-00215,SP-008,2026-03-16T12:15:31,2026-03-17T12:27:27,Race condition in background sync job (post-rejection deeper review),Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix. Adjusted based on customer feedback.,Investigated on Analytics Dashboard. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Analytics Dashboard diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.95
TKT-00218,SP-006,2026-03-13T06:31:49,2026-03-13T10:25:16,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.78
TKT-00218,SP-002,2026-03-14T21:18:37,2026-03-15T01:29:43,Permission cache out of sync between SSO and target system (post-rejection deeper review),Force a refresh of the user's SSO group membership and clear server-side session cache. Adjusted based on customer feedback.,Investigated on CRM. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper CRM diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.85
TKT-00220,SP-009,2026-02-22T23:18:56,2026-02-23T11:28:27,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.78
TKT-00221,SP-001,2026-03-04T20:32:25,2026-03-05T17:05:44,Driver mismatch with current OS image,Push updated driver via MDM and confirm device reports healthy.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known hardware_issue patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.93
TKT-00223,SP-008,2026-02-16T05:28:48,2026-02-18T01:16:53,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Inventory App. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Inventory App health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00228,SP-002,2026-03-18T14:57:04,2026-03-19T02:23:56,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.9
TKT-00229,SP-004,2026-02-14T00:39:55,2026-02-14T21:02:52,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.73
TKT-00230,SP-010,2026-02-08T17:37:24,2026-02-09T02:49:06,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.83
TKT-00230,SP-010,2026-02-11T13:17:45,2026-02-11T14:53:11,Tax engine using stale region cache (post-rejection deeper review),Refresh tax engine cache for affected account; reissue invoice with corrected line items. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.78
TKT-00231,SP-010,2026-03-05T10:52:52,2026-03-05T15:37:40,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.73
TKT-00231,SP-010,2026-03-08T06:02:19,2026-03-08T20:29:50,Tax engine using stale region cache (post-rejection deeper review),Refresh tax engine cache for affected account; reissue invoice with corrected line items. Adjusted based on customer feedback.,Investigated on Billing System. Initial information from IT team was incomplete; specialist requested clarification mid-investigation. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Billing System diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.96
TKT-00232,SP-008,2026-03-02T23:20:54,2026-03-06T02:59:52,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00234,SP-006,2026-03-19T15:07:00,2026-03-21T15:30:49,Manual access review required for sensitive role,"Open access review, obtain manager and security approval, grant scoped role.",Investigated on Identity Provider. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known security_request patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.87
TKT-00235,SP-002,2026-02-03T02:16:03,2026-02-04T06:58:55,Manual access review required for sensitive role,"Open access review, obtain manager and security approval, grant scoped role.",Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known security_request patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.75
TKT-00235,SP-006,2026-02-06T02:20:41,2026-02-08T01:24:44,Manual access review required for sensitive role (post-rejection deeper review),"Open access review, obtain manager and security approval, grant scoped role. Adjusted based on customer feedback.",Investigated on Identity Provider. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Identity Provider diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.95
TKT-00237,SP-008,2026-02-28T21:53:15,2026-03-01T11:24:20,Race condition in background sync job (post-rejection deeper review),Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix. Adjusted based on customer feedback.,Investigated on Inventory App. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Inventory App diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.97
TKT-00238,SP-009,2026-03-06T09:58:32,2026-03-06T14:47:13,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Identity Provider. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.91
TKT-00241,SP-006,2026-02-17T23:50:47,2026-02-18T05:21:30,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00244,SP-009,2026-01-27T15:25:08,2026-01-28T05:34:54,Misconfigured route on regional gateway (post-rejection deeper review),Apply corrected route table entry and validate user can reach internal hosts. Adjusted based on customer feedback.,Investigated on Identity Provider. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Identity Provider diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.91
TKT-00247,SP-010,2026-03-20T06:42:14,2026-03-20T15:19:41,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.72
TKT-00248,SP-010,2026-01-17T15:04:29,2026-01-17T21:32:36,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.94
TKT-00250,SP-003,2026-03-01T06:12:10,2026-03-03T01:14:39,Driver mismatch with current OS image,Push updated driver via MDM and confirm device reports healthy.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known hardware_issue patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.76
